RN50;clip_baseline;clip_description;clip_comparative;clip_comparative_filtering;clip_waffle
Birdsnap; 38.61%; 40.02%; 42.50%; 42.86%; 39.79%
Caltech_256; 77.40%; 80.22%; 80.68%; 80.18%; 79.19%
CompCars;  0.17%;  0.14%;  0.16%;  0.24%;  0.17%
CUB_200_2011; 46.66%; 47.92%; 47.18%; 47.46%; 46.78%
DTD; 39.17%; 40.12%; 43.00%; 45.66%; 39.61%
FGVC_Aircraft; 20.31%; 23.19%; 21.90%; 20.82%; 21.54%
Flavia_Leaves; 11.71%; 10.56%; 11.08%; 11.82%; 12.67%
food-101; 74.27%; 75.20%; 74.70%; 75.49%; 76.02%
FoodX-251; 57.18%; 59.05%; 58.21%; 57.33%; 59.13%
Leaf; 27.20%; 21.43%; 23.11%; 29.82%; 26.68%
Leeds_Butterfly; 66.71%; 65.38%; 69.11%; 71.39%; 67.67%
LZUPSD;  1.42%;  0.89%;  0.96%;  1.73%;  1.53%
MIT_Indoor_Scenes; 70.59%; 72.70%; 74.23%; 75.98%; 71.48%
MNIST_Butterfly; 30.40%; 31.80%; 31.20%; 31.80%; 29.91%
NA_Fish; 48.14%; 53.36%; 53.60%; 54.57%; 48.49%
Oxford-IIIT_Pet_Dataset; 78.83%; 81.00%; 79.20%; 78.10%; 79.29%
Oxford_Flowers_192; 61.61%; 64.79%; 65.53%; 66.87%; 63.55%
SlowSketch; 54.88%; 56.82%; 55.70%; 54.23%; 59.80%
Stanford_Cars; 53.66%; 52.98%; 53.72%; 51.33%; 53.98%
Stanford_Dogs; 53.40%; 54.14%; 54.26%; 52.78%; 54.35%
