RN50x4;clip_baseline;clip_description;clip_comparative;clip_comparative_filtering;clip_waffle
Birdsnap; 45.57%; 44.27%; 42.38%; 43.92%; 42.13%
Caltech_256; 82.21%; 85.44%; 84.74%; 84.90%; 83.94%
CompCars;  0.17%;  0.17%;  0.25%;  0.27%;  0.21%
CUB_200_2011; 54.48%; 53.09%; 52.86%; 53.44%; 52.46%
DTD; 44.59%; 41.61%; 45.94%; 45.98%; 44.78%
FGVC_Aircraft; 23.85%; 26.82%; 25.41%; 23.76%; 25.34%
Flavia_Leaves; 16.65%;  8.46%; 14.60%; 15.07%; 16.21%
food-101; 82.45%; 82.29%; 82.10%; 81.07%; 83.68%
FoodX-251; 62.70%; 64.57%; 63.42%; 59.22%; 64.43%
Leaf; 15.23%; 14.14%; 13.72%; 15.02%; 13.28%
Leeds_Butterfly; 60.46%; 57.21%; 45.67%; 51.20%; 59.63%
LZUPSD;  1.22%;  0.91%;  0.80%;  0.96%;  1.12%
MIT_Indoor_Scenes; 77.05%; 78.79%; 81.40%; 80.52%; 78.73%
MNIST_Butterfly; 30.00%; 26.80%; 27.40%; 29.60%; 30.03%
NA_Fish; 61.33%; 60.81%; 61.23%; 61.57%; 65.06%
Oxford-IIIT_Pet_Dataset; 83.23%; 85.03%; 79.88%; 77.62%; 82.88%
Oxford_Flowers_192; 62.71%; 66.63%; 67.97%; 70.17%; 66.35%
SlowSketch; 73.68%; 66.98%; 71.27%; 68.21%; 73.73%
Stanford_Cars; 65.37%; 63.78%; 64.94%; 60.17%; 65.79%
Stanford_Dogs; 60.42%; 59.85%; 60.33%; 56.77%; 61.53%
